"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"S2F";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"25.2075";"9.5000";"90";"TopLayer"
"S3F";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"25.2075";"-12.5000";"90";"TopLayer"
"S4F";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"25.2075";"-34.5000";"90";"TopLayer"
"S1G";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"39.2075";"31.5000";"90";"TopLayer"
"S2G";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"39.2075";"9.5000";"90";"TopLayer"
"S3G";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"39.2075";"-12.5000";"90";"TopLayer"
"S4G";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"39.2075";"-34.5000";"90";"TopLayer"
"S1H";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"53.2075";"31.5000";"90";"TopLayer"
"S2H";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"53.2075";"9.5000";"90";"TopLayer"
"S3H";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"53.2075";"-12.5000";"90";"TopLayer"
"S4H";"PCM12SMTR";"SMD_SWITCH_SPDT_(PCM12SMTR)";"53.2075";"-34.5000";"90";"TopLayer"
"U1A";"MP34DT05TR-A";"SMD_Microphone_(MP34DT05TR-A)";"-49.0000";"33.5000";"0";"TopLayer"
"U2A";"GMA3526H10-B26";"SMD_MICROPHONE_(GMA3526H10-B26)";"-48.9998";"11.5443";"180";"TopLayer"
"U3A";"GMA4030H11-F26";"SMD_Microphone_(GMA4030H11-F26)";"-49.0000";"-10.5000";"0";"TopLayer"
"U4A";"SD18OB261-060";"SMD_MICROPHONE_(SD18OB261-060)";"-48.9998";"-32.4558";"180";"TopLayer"
